week,chain,name,supply,probes,uptime,p50_ms,p95_ms,weakest_day
2026-W37,arbitrum_one,Arbitrum One,all,726,1.0,52,174,2026-09-07
2026-W37,base_mainnet,Base Mainnet,all,817,1.0,72,456,2026-09-07
2026-W37,eth_mainnet,Ethereum Mainnet,all,681,1.0,52,1090,2026-09-07
2026-W37,optimism_mainnet,OP Mainnet,all,726,1.0,59,196,2026-09-07
2026-W37,polygon_pos,Polygon PoS,all,544,1.0,51,125,2026-09-07
2026-W37,solana_mainnet,Solana Mainnet,all,544,1.0,50,454,2026-09-07
2026-W37,arbitrum_one,Arbitrum One,contracted,271,1.0,41,,
2026-W37,arbitrum_one,Arbitrum One,public pool,455,1.0,56,,
2026-W37,base_mainnet,Base Mainnet,contracted,271,1.0,50,,
2026-W37,base_mainnet,Base Mainnet,public pool,546,1.0,111,,
2026-W37,eth_mainnet,Ethereum Mainnet,contracted,271,1.0,48,,
2026-W37,eth_mainnet,Ethereum Mainnet,public pool,410,0.99512,53,,
2026-W37,optimism_mainnet,OP Mainnet,contracted,271,1.0,47,,
2026-W37,optimism_mainnet,OP Mainnet,public pool,455,1.0,61,,
2026-W37,polygon_pos,Polygon PoS,contracted,271,1.0,48,,
2026-W37,polygon_pos,Polygon PoS,public pool,273,1.0,52,,
2026-W37,solana_mainnet,Solana Mainnet,contracted,271,1.0,45,,
2026-W37,solana_mainnet,Solana Mainnet,public pool,273,0.98901,68,,
